web_site, date, match, one, ics, two, gol, over, under
bwin, OGGI,  Napoli - Empoli, 7.50, 3.30, 1.57, 1,5, 1.75, 1.93
bwin, OGGI,  Sassuolo - Lazio, 1.13, 6.75, 46.00, 3,5, 2.75, 1.39
bwin, OGGI,  Inter - Cagliari Calcio, 1.18, 7.75, 14.00, 3,5, 2.00, 1.73
bwin, DOMANI,  Roma - Spezia, 1.40, 5.00, 7.25, 3,5, 2.15, 1.61
bwin, VENERDÌ - 17/12/21,  Lazio - Genoa, 1.41, 4.75, 7.50, 2,5, 1.60, 2.20
bwin, VENERDÌ - 17/12/21,  Salernitana - Inter, 12.50, 6.25, 1.24, 3,5, 2.25, 1.57
bwin, SABATO - 18/12/21,  Atalanta - Roma, 1.72, 4.33, 4.10, 3,5, 2.30, 1.55
bwin, SABATO - 18/12/21,  Bologna - Juventus, 3.90, 3.75, 1.87, 2,5, 1.73, 1.98
bwin, SABATO - 18/12/21,  Cagliari Calcio - Udinese, 3.00, 3.30, 2.35, 2,5, 1.90, 1.82
bwin, DOMENICA - 19/12/21,  Fiorentina - Sassuolo, 1.87, 4.10, 3.60, 2,5, 1.60, 2.20
bwin, DOMENICA - 19/12/21,  Spezia - Empoli, 2.35, 3.60, 2.80, 2,5, 1.60, 2.20
bwin, DOMENICA - 19/12/21,  Sampdoria - Venezia, 1.82, 3.80, 4.00, 2,5, 1.70, 2.00
bwin, DOMENICA - 19/12/21,  Torino - Hellas Verona, 2.25, 3.30, 3.20, 2,5, 1.98, 1.75
bwin, DOMENICA - 19/12/21,  Milan - Napoli, 2.35, 3.50, 2.90, 2,5, 1.77, 1.95
